sana;sanaluokka;taso;aikaleima (dd.mm.yyyy HH:MM:SS)
college;1;1;17-03-2022 06:23:06
colour;1;1;20-11-2022 10:56:29
come;2;1;11-03-2022 18:34:44
common;3;1;12-12-2022 14:31:10
common;1;1;07-07-2022 04:22:33
company;1;1;19-07-2022 10:13:00
compare;2;1;03-11-2022 01:40:47
complete;3;1;07-08-2022 04:08:22
complete;2;1;20-11-2022 03:43:44
computer;1;1;27-07-2022 06:43:26
concert;1;1;07-03-2022 12:47:28
conversation;1;1;27-06-2022 00:14:03
cook;2;1;17-12-2022 02:13:07
cooking;1;1;11-11-2022 23:01:27
cool;3;1;13-03-2022 09:03:58
correct;3;1;12-04-2022 15:55:05
correct;2;1;22-04-2022 19:25:09
cost;1;1;06-05-2022 14:19:32
cost;2;1;29-10-2022 13:12:09
could modal;2;1;25-04-2022 10:10:05
country;1;1;16-01-2022 01:00:28
course;1;1;26-09-2022 05:03:36
cousin;1;1;28-04-2022 08:11:47
cow;1;1;24-07-2022 00:41:40
cream;1;1;12-02-2022 02:20:47
create;2;1;14-01-2022 16:14:39
culture;1;1;04-06-2022 16:05:13
cup;1;1;22-10-2022 18:06:26
customer;1;1;31-01-2022 23:52:47
cut;2;1;14-08-2022 21:50:42
dad;1;1;22-10-2022 19:44:06
dance;1;1;31-08-2022 17:57:35
dance;2;1;23-06-2022 11:31:33
dancer;1;1;24-08-2022 14:43:44
dancing;1;1;29-12-2022 17:39:59
dangerous;3;1;15-03-2022 08:48:06
dark;3;1;20-07-2022 07:48:54
date;1;1;15-03-2022 22:52:01
daughter;1;1;29-03-2022 18:43:59
day;1;1;10-10-2022 05:45:26
dear;3;1;19-06-2022 13:23:36
december;1;1;01-03-2022 04:53:05
decide;2;1;02-08-2022 13:05:38
delicious;3;1;24-04-2022 12:12:34
describe;2;1;13-05-2022 22:53:54
description;1;1;21-06-2022 12:36:30
design;1;1;16-08-2022 04:22:36
design;2;1;12-01-2022 01:50:33
desk;1;1;05-06-2022 03:43:22
detail;1;1;27-02-2022 14:05:14
dialogue;1;1;19-04-2022 15:58:01
dictionary;1;1;04-12-2022 02:34:20
die;2;1;21-03-2022 04:11:47
diet;1;1;11-06-2022 19:58:36
difference;1;1;06-06-2022 12:25:43
different;3;1;04-10-2022 13:01:37
difficult;3;1;02-08-2022 21:37:55
dinner;1;1;15-12-2022 12:41:24
dirty;3;1;30-08-2022 01:43:21
discuss;2;1;06-12-2022 10:03:11
dish;1;1;17-09-2022 10:24:24
do;2;1;13-10-2022 20:27:03
do;2;1;10-05-2022 17:05:57
doctor;1;1;21-09-2022 08:23:45
dog;1;1;08-08-2022 12:28:04
dollar;1;1;16-02-2022 19:41:02
door;1;1;06-08-2022 01:21:07
down;4;1;07-10-2022 15:33:38
down;5;1;21-10-2022 21:43:51
downstairs;4;1;05-02-2022 08:45:52
draw;2;1;27-02-2022 00:57:19
dress;1;1;23-02-2022 14:17:19
dress;2;1;26-03-2022 07:59:27
drink;1;1;22-08-2022 08:29:31
drink;2;1;08-10-2022 23:45:04
drive;2;1;22-08-2022 11:10:07
driver;1;1;17-03-2022 11:13:36
during;5;1;25-01-2022 04:00:49
dvd;1;1;18-09-2022 21:03:00
each;7;1;01-11-2022 23:56:22
each;8;1;06-03-2022 05:25:45
each;4;1;15-01-2022 15:37:41
ear;1;1;05-11-2022 08:52:21
early;3;1;12-10-2022 18:44:21
early;4;1;14-10-2022 20:05:52
east;1;1;27-11-2022 09:01:17
east;3;1;27-04-2022 17:32:08
east;4;1;13-07-2022 05:33:42
easy;3;1;25-10-2022 09:43:50
eat;2;1;22-12-2022 23:31:41
egg;1;1;09-07-2022 00:52:24
eight;6;1;30-11-2022 16:11:57
eighteen;6;1;27-07-2022 02:36:01
eighty;6;1;07-12-2022 12:59:35
elephant;1;1;12-05-2022 02:17:40
eleven;6;1;29-04-2022 16:47:40
else;4;1;17-01-2022 21:52:46
email;1;1;22-02-2022 21:10:48
email;2;1;02-09-2022 10:42:43
end;1;1;14-07-2022 10:56:34
end;2;1;27-06-2022 03:28:11
enjoy;2;1;23-05-2022 09:42:40
enough;7;1;13-11-2022 09:11:36
enough;8;1;19-01-2022 04:13:38
enough;4;1;04-03-2022 03:10:20
euro;1;1;21-05-2022 21:11:11
even;4;1;01-05-2022 10:51:23
evening;1;1;05-01-2022 02:45:36
event;1;1;03-06-2022 04:55:37
ever;4;1;30-01-2022 14:36:49
every;7;1;01-01-2022 14:35:52
everybody;8;1;14-10-2022 17:20:48
everyone;8;1;04-05-2022 13:16:31
everything;8;1;20-11-2022 05:52:19
exam;1;1;13-11-2022 21:37:32
example;1;1;04-11-2022 17:49:46
excited;3;1;17-02-2022 18:33:01
exciting;3;1;22-08-2022 23:23:10
exercise;1;1;30-04-2022 14:28:32
exercise;2;1;26-10-2022 05:43:35
expensive;3;1;04-03-2022 15:11:00
explain;2;1;23-09-2022 14:31:39
extra;3;1;19-06-2022 01:49:24
eye;1;1;22-03-2022 01:53:37
face;1;1;29-12-2022 00:39:06
fact;1;1;15-10-2022 04:30:26
fall;2;1;25-04-2022 04:32:00
false;3;1;17-07-2022 22:05:31
family;1;1;02-02-2022 22:42:21
family;3;1;25-04-2022 04:23:22
famous;3;1;07-02-2022 05:12:52
fantastic;3;1;22-01-2022 09:58:52
far;4;1;14-02-2022 14:03:25
farm;1;1;24-05-2022 23:03:15
farmer;1;1;21-08-2022 01:35:57
fast;3;1;12-08-2022 06:53:12
fast;4;1;22-04-2022 09:13:46
fat;3;1;14-01-2022 14:50:15
father;1;1;09-11-2022 05:02:13
favourite;3;1;28-09-2022 23:24:09
favourite;1;1;07-04-2022 14:38:54
february;1;1;07-02-2022 23:36:10
feel;2;1;22-02-2022 20:18:35
feeling;1;1;13-06-2022 17:16:41
festival;1;1;05-01-2022 09:29:44
few;7;1;15-03-2022 09:56:18
few;3;1;24-05-2022 14:56:08
few;8;1;06-02-2022 05:15:56
fifteen;6;1;19-03-2022 00:27:08
fifth;6;1;04-06-2022 19:42:04
fifty;6;1;01-08-2022 23:11:19
fill;2;1;20-05-2022 06:50:48
film;1;1;13-08-2022 04:31:33
final;3;1;17-10-2022 12:31:13
find;2;1;04-11-2022 11:43:31
fine;3;1;10-07-2022 12:33:21
finish;2;1;03-03-2022 20:22:55
fire;1;1;03-07-2022 11:52:51
first;7;1;08-01-2022 12:57:33
first;4;1;10-09-2022 05:55:50
fish;1;1;27-09-2022 05:29:05
five;6;1;31-05-2022 12:57:49
flat;1;1;22-04-2022 13:15:14
flight;1;1;11-03-2022 13:11:49
floor;1;1;19-04-2022 02:04:04
flower;1;1;19-12-2022 04:08:01
fly;2;1;19-10-2022 14:26:59
follow;2;1;11-10-2022 00:50:56
food;1;1;26-08-2022 06:38:12
foot;1;1;31-08-2022 00:05:18
football;1;1;26-05-2022 01:42:22
for;5;1;17-10-2022 14:13:31
forget;2;1;03-10-2022 23:48:43
form;1;1;05-05-2022 00:00:10
form;2;1;29-03-2022 19:41:15
forty;6;1;08-03-2022 04:08:31
four;6;1;30-09-2022 05:49:50
fourteen;6;1;01-02-2022 01:45:17
fourth;6;1;04-09-2022 18:29:44
free;3;1;04-09-2022 00:34:29
friday;1;1;17-10-2022 13:57:26
friend;1;1;08-01-2022 14:35:29
friendly;3;1;05-11-2022 15:10:46
from;5;1;23-04-2022 23:55:54
front;1;1;04-11-2022 21:45:43
front;3;1;29-07-2022 17:47:58
fruit;1;1;04-01-2022 22:12:50
full;3;1;14-06-2022 14:13:48
fun;1;1;15-05-2022 17:44:07
funny;3;1;21-05-2022 23:12:43
future;1;1;14-10-2022 12:58:29
game;1;1;04-10-2022 22:54:14
garden;1;1;09-03-2022 09:39:22
geography;1;1;05-05-2022 13:02:31
get;2;1;12-02-2022 02:06:22
girl;1;1;30-10-2022 17:14:59
girlfriend;1;1;03-05-2022 08:49:30
give;2;1;19-11-2022 03:07:36
glass;1;1;11-02-2022 18:17:08
go;2;1;27-10-2022 09:53:03
good;3;1;06-09-2022 06:03:58
goodbye;10;1;17-02-2022 06:25:59
goodbye;1;1;13-08-2022 20:03:36
grandfather;1;1;05-07-2022 11:14:49
grandmother;1;1;09-10-2022 19:00:03
grandparent;1;1;10-01-2022 19:05:53
great;3;1;22-11-2022 12:10:51
green;3;1;12-01-2022 02:01:17
green;1;1;09-01-2022 01:26:57
grey;3;1;11-10-2022 02:15:42
grey;1;1;21-11-2022 04:52:07
group;1;1;15-11-2022 00:44:39
grow;2;1;30-10-2022 01:01:17
guess;2;1;15-06-2022 19:37:03
guess;1;1;19-08-2022 12:23:27
guitar;1;1;12-01-2022 07:13:50
gym;1;1;12-08-2022 18:22:17
hair;1;1;06-07-2022 00:33:03
half;1;1;13-07-2022 14:02:57
half;7;1;05-08-2022 02:14:18
half;8;1;02-07-2022 02:26:44
hand;1;1;10-05-2022 13:42:34
happen;2;1;01-05-2022 20:24:47
happy;3;1;08-11-2022 20:21:17
hard;3;1;27-04-2022 21:15:22
hard;4;1;06-01-2022 23:46:55
hat;1;1;01-03-2022 08:48:38
hate;2;1;17-08-2022 22:59:46
have;2;1;09-12-2022 22:00:03
have to modal;2;1;12-11-2022 11:47:57
he;8;1;01-03-2022 17:03:23
head;1;1;04-07-2022 05:50:02
health;1;1;03-11-2022 18:51:43
healthy;3;1;19-12-2022 12:33:42
hear;2;1;19-08-2022 03:23:03
hello;10;1;06-04-2022 14:56:44
hello;1;1;13-04-2022 07:27:42
help;2;1;26-11-2022 02:08:06
help;1;1;07-06-2022 03:51:32
her;8;1;20-04-2022 22:47:07
her;7;1;21-08-2022 23:03:30
here;4;1;17-12-2022 03:37:51
hey;10;1;11-06-2022 16:10:53
hi;10;1;06-06-2022 05:10:16
high;3;1;25-05-2022 19:48:55
him;8;1;25-03-2022 01:43:44
his;7;1;21-02-2022 01:54:13
history;1;1;01-02-2022 05:43:33
hobby;1;1;18-11-2022 23:48:45
holiday;1;1;31-03-2022 08:42:49
home;1;1;05-09-2022 15:23:14
home;4;1;21-04-2022 03:10:23
homework;1;1;11-02-2022 22:53:28
hope;2;1;30-04-2022 12:36:31
horse;1;1;27-10-2022 17:13:19
hospital;1;1;12-05-2022 08:39:04
hot;3;1;25-12-2022 21:06:05
hotel;1;1;20-04-2022 11:13:25
hour;1;1;06-12-2022 18:33:40
house;1;1;05-11-2022 01:38:30
how;4;1;15-05-2022 09:15:53
however;4;1;26-03-2022 07:37:05
hundred;6;1;20-01-2022 11:16:37
hungry;3;1;13-01-2022 09:14:30
husband;1;1;22-06-2022 17:30:18
i;8;1;17-06-2022 19:08:13
ice;1;1;28-04-2022 12:25:50
ice cream;1;1;17-10-2022 11:23:38
idea;1;1;30-12-2022 06:47:01
if;9;1;26-10-2022 00:50:14
imagine;2;1;07-06-2022 17:32:10
important;3;1;22-11-2022 07:13:56
improve;2;1;25-03-2022 01:01:17
in;5;1;11-04-2022 09:37:52
in;4;1;31-03-2022 15:23:40
include;2;1;06-02-2022 17:08:32
information;1;1;21-06-2022 09:16:23
interest;1;1;25-04-2022 00:43:56
interest;2;1;21-01-2022 14:31:29
interested;3;1;27-03-2022 11:43:40
interesting;3;1;30-06-2022 01:19:53
internet;1;1;20-06-2022 13:15:20
interview;1;1;05-11-2022 15:05:45
interview;2;1;21-10-2022 06:39:00
into;5;1;06-11-2022 15:22:28
introduce;2;1;10-02-2022 16:35:39
island;1;1;15-05-2022 05:06:42
it;8;1;07-05-2022 07:08:39
its;7;1;08-03-2022 11:15:06
jacket;1;1;23-09-2022 07:02:56
january;1;1;04-04-2022 09:17:53
jeans;1;1;11-06-2022 01:02:26
job;1;1;31-08-2022 11:56:40
join;2;1;07-09-2022 21:25:27
journey;1;1;01-11-2022 22:00:47
juice;1;1;31-08-2022 00:37:34
july;1;1;26-09-2022 21:23:21
june;1;1;25-11-2022 08:50:48
just;4;1;31-08-2022 17:28:12
keep;2;1;18-07-2022 21:34:58
key;1;1;17-08-2022 09:17:11
key;3;1;02-11-2022 19:54:44
kilometre;1;1;30-03-2022 19:53:06
kind (type);1;1;05-07-2022 06:48:54
kitchen;1;1;08-07-2022 22:31:58
know;2;1;14-08-2022 00:55:32
land;1;1;07-07-2022 17:09:09
language;1;1;27-03-2022 05:04:46
large;3;1;02-07-2022 04:24:55
last (final);7;1;18-12-2022 11:28:26
late;3;1;19-08-2022 01:52:35
late;4;1;23-08-2022 22:26:18
later;4;1;30-04-2022 09:55:00
laugh;2;1;14-05-2022 10:49:29
laugh;1;1;04-09-2022 14:30:08
learn;2;1;27-01-2022 07:45:38
leave;2;1;15-05-2022 06:50:22
left;3;1;29-05-2022 16:02:53
left;4;1;02-05-2022 01:17:58
left;1;1;25-10-2022 14:55:33
leg;1;1;12-12-2022 05:02:18
lesson;1;1;08-04-2022 22:45:03
let;2;1;11-01-2022 07:02:22
letter;1;1;11-10-2022 20:52:58
library;1;1;09-04-2022 06:42:06
lie;2;1;19-04-2022 14:58:21
life;1;1;30-03-2022 19:32:57
light (from the sun/a lamp);1;1;14-03-2022 09:19:43
light (from the sun/a lamp);3;1;17-03-2022 19:47:57
like (similar);5;1;05-04-2022 13:06:49
like (find sb/sth pleasant);2;1;23-04-2022 10:10:45
line;1;1;01-04-2022 08:30:58
lion;1;1;31-08-2022 18:07:45
list;1;1;29-10-2022 22:10:29
list;2;1;15-04-2022 14:43:14
listen;2;1;05-12-2022 05:24:10
little;3;1;26-01-2022 23:54:20
little;7;1;15-01-2022 17:56:07
little;8;1;01-10-2022 15:58:37
live;2;1;31-12-2022 01:28:44
local;3;1;08-06-2022 13:34:30
long;3;1;31-12-2022 08:32:58
long;4;1;30-01-2022 05:34:24
look;2;1;23-05-2022 19:29:15
lose;2;1;05-10-2022 18:03:26
lot;8;1;30-11-2022 03:41:03
lot;7;1;22-06-2022 16:01:04
lot;4;1;05-02-2022 17:36:40
love;1;1;30-11-2022 12:41:03
love;2;1;07-10-2022 15:26:36
lunch;1;1;08-12-2022 19:34:05
machine;1;1;03-10-2022 17:57:43
magazine;1;1;10-12-2022 21:19:20
main;3;1;25-12-2022 01:49:20
make;2;1;12-02-2022 01:40:52
man;1;1;24-09-2022 13:14:55
many;7;1;14-11-2022 14:51:58
many;8;1;09-10-2022 14:14:48
map;1;1;24-09-2022 04:57:06
march;1;1;16-03-2022 09:21:04
market;1;1;18-03-2022 04:24:47
married;3;1;10-06-2022 12:37:52
match (contest/correspond);1;1;03-06-2022 12:02:43
match (contest/correspond);2;1;29-09-2022 18:51:43
may;1;1;04-10-2022 08:24:33
maybe;4;1;13-03-2022 16:43:09
me;8;1;09-05-2022 07:42:21
meal;1;1;15-10-2022 19:28:59
mean;2;1;29-07-2022 10:07:50
meaning;1;1;14-09-2022 07:16:41
meat;1;1;17-11-2022 12:34:52
meet;2;1;17-12-2022 03:42:11
meeting;1;1;03-08-2022 18:53:57
member;1;1;17-08-2022 04:07:15
menu;1;1;15-04-2022 14:53:48
message;1;1;07-11-2022 14:58:31
metre;1;1;28-07-2022 04:57:39
midnight;1;1;06-01-2022 19:00:16
mile;1;1;01-08-2022 08:23:02
milk;1;1;23-05-2022 21:08:02
million;6;1;20-06-2022 01:07:31
minute;1;1;03-09-2022 14:55:54
miss;2;1;03-02-2022 09:51:30
mistake;1;1;30-07-2022 15:06:41
model;1;1;24-12-2022 18:08:30
modern;3;1;13-02-2022 05:00:14
moment;1;1;19-11-2022 08:01:19
monday;1;1;28-06-2022 15:17:20
money;1;1;27-12-2022 19:17:42
month;1;1;19-11-2022 23:43:11
more;7;1;07-08-2022 22:41:29
more;8;1;20-01-2022 05:10:51
more;4;1;03-01-2022 03:21:40
morning;1;1;10-10-2022 05:09:17
most;7;1;24-08-2022 07:23:41
most;8;1;15-03-2022 14:03:13
most;4;1;23-07-2022 06:29:41
mother;1;1;29-01-2022 10:36:47
mountain;1;1;16-04-2022 21:50:35
mouse;1;1;04-09-2022 12:25:01
mouth;1;1;22-11-2022 14:10:32
move;2;1;25-06-2022 00:44:14
movie;1;1;11-05-2022 15:51:49
much;7;1;14-05-2022 07:25:43
much;8;1;28-10-2022 00:19:18
much;4;1;15-04-2022 06:24:45
mum;1;1;09-06-2022 22:15:51
museum;1;1;13-10-2022 23:34:19
music;1;1;17-02-2022 09:25:32
must modal;2;1;30-09-2022 02:30:58
my;7;1;27-10-2022 14:36:04
name;1;1;06-04-2022 12:35:11
name;2;1;13-02-2022 14:07:18
natural;3;1;25-10-2022 01:59:34
near;5;1;20-06-2022 23:29:35
near;3;1;21-06-2022 14:22:49
near;4;1;10-04-2022 22:21:05
need;2;1;21-05-2022 15:09:57
negative;3;1;28-05-2022 07:24:33
neighbour;1;1;08-01-2022 23:26:31
never;4;1;23-01-2022 23:02:45
new;3;1;08-07-2022 06:17:42
news;1;1;16-11-2022 13:55:38
newspaper;1;1;21-10-2022 12:26:26
next;3;1;28-02-2022 13:36:35
next;4;1;06-10-2022 23:35:10
next to;5;1;08-01-2022 00:04:57
nice;3;1;22-08-2022 16:42:51
night;1;1;07-11-2022 19:20:22
nine;6;1;31-08-2022 22:02:07
nineteen;6;1;12-09-2022 15:51:13
ninety;6;1;01-01-2022 14:46:25
no;10;1;15-04-2022 02:40:01
no;7;1;12-03-2022 22:49:24
no one;8;1;14-06-2022 20:00:42
nobody;8;1;28-09-2022 10:55:45
north;1;1;08-03-2022 21:42:25
north;3;1;02-12-2022 05:17:58
north;4;1;14-10-2022 04:47:37
nose;1;1;11-06-2022 14:30:12
not;4;1;07-07-2022 19:12:10
note;1;1;10-05-2022 17:52:57
nothing;8;1;10-05-2022 03:20:53
november;1;1;28-01-2022 03:26:40
now;4;1;21-03-2022 15:53:11
number;1;1;30-05-2022 07:36:12
nurse;1;1;31-10-2022 04:26:21
object;1;1;19-08-2022 21:45:59
clock;4;1;25-09-2022 07:26:33
october;1;1;23-11-2022 10:23:38
of;5;1;13-04-2022 12:04:22
off;4;1;22-01-2022 04:56:48
off;5;1;30-06-2022 14:37:22
office;1;1;24-03-2022 02:50:28
often;4;1;13-05-2022 01:58:00
oh;10;1;17-08-2022 10:23:38
ok;10;1;21-10-2022 08:28:47
ok;3;1;10-11-2022 05:31:56
ok;4;1;18-05-2022 08:48:01
old;3;1;17-04-2022 07:11:48
on;5;1;02-11-2022 11:40:50
on;4;1;11-03-2022 14:11:39
once;4;1;04-08-2022 21:08:50
one;6;1;22-08-2022 21:26:54
one;7;1;20-01-2022 22:44:25
one;8;1;10-06-2022 06:10:22
onion;1;1;27-11-2022 14:24:46
online;3;1;13-07-2022 19:14:27
online;4;1;18-06-2022 11:54:28
only;3;1;01-09-2022 10:16:36
only;4;1;30-11-2022 05:35:55
open;3;1;15-11-2022 22:30:09
open;2;1;21-01-2022 00:49:27
opinion;1;1;19-04-2022 01:39:37
opposite;3;1;14-10-2022 09:10:16
opposite;4;1;11-05-2022 12:45:43
opposite;5;1;28-06-2022 00:34:34
opposite;1;1;11-03-2022 02:41:49
or;9;1;02-01-2022 10:33:19
orange;1;1;09-12-2022 07:44:12
orange;3;1;28-03-2022 15:26:27
order;1;1;19-08-2022 05:27:34
order;2;1;11-06-2022 02:34:20
other;3;1;01-07-2022 11:37:41
other;8;1;10-07-2022 02:37:42
our;7;1;21-06-2022 00:21:25
out;4;1;30-06-2022 13:11:32
out;5;1;16-05-2022 01:54:29
outside;4;1;06-10-2022 22:37:38
over;5;1;18-03-2022 08:00:36
over;4;1;09-07-2022 16:19:38
own;3;1;25-03-2022 18:07:50
own;8;1;07-11-2022 21:42:00
page;1;1;16-02-2022 17:16:45
paint;2;1;08-12-2022 14:40:36
paint;1;1;31-05-2022 18:26:21
painting;1;1;15-05-2022 07:53:05
pair;1;1;24-04-2022 10:08:20
paper;1;1;26-06-2022 17:10:04
paragraph;1;1;07-12-2022 03:55:49
parent;1;1;07-03-2022 23:39:36
park;1;1;14-08-2022 07:27:11
park;2;1;15-07-2022 05:30:38
part;1;1;26-05-2022 13:49:20
partner;1;1;30-08-2022 12:32:48
party;1;1;26-12-2022 15:11:32
passport;1;1;19-11-2022 02:55:40
past;3;1;19-05-2022 13:11:55
past;1;1;06-04-2022 00:46:24
past;5;1;24-06-2022 01:21:57
pay;2;1;22-03-2022 07:54:30
pen;1;1;07-04-2022 12:42:40
pencil;1;1;17-11-2022 19:24:42
people;1;1;12-03-2022 03:18:17
pepper;1;1;02-08-2022 13:06:08
perfect;3;1;26-06-2022 15:44:00
period;1;1;10-01-2022 21:48:17
person;1;1;27-01-2022 01:51:57
personal;3;1;08-07-2022 22:08:27
phone;1;1;21-11-2022 12:37:37
phone;2;1;13-07-2022 03:49:40
photo;1;1;07-09-2022 05:55:37
photograph;1;1;27-03-2022 18:18:09
phrase;1;1;15-10-2022 16:27:07
piano;1;1;14-07-2022 14:12:36
